Dec 15 12:50:01 test kernel: [60238.672114] [TRACE_KVM] Buffer & to_replay created
Dec 15 12:50:01 test kernel: [60238.672150] [HAVFUZZ] Opened
Dec 15 12:50:32 test kernel: [60269.068286] [TRACE_KVM] The trarget vcpu is 3
Dec 15 12:50:32 test kernel: [60269.137628] [Trace KVM] Buffer reset
Dec 15 12:50:32 test kernel: [60269.137634] [TRACE_KVM] Buffer size changed
Dec 15 12:50:32 test kernel: [60269.137641] [TRACE_KVM] From_exit set to 0 and exit_before buffer created.
Dec 15 12:50:32 test kernel: [60269.137643] [TRACE_KVM] gran exit set to 0.
Dec 15 12:50:32 test kernel: [60269.137644] [TRACE_KVM] Control_execution set to 1.
Dec 15 12:50:32 test kernel: [60269.137646] [TRACE_KVM] tracing enabled
Dec 15 12:50:32 test kernel: [60269.775492] 35, L1: 1.
Dec 15 12:50:32 test kernel: [60269.779320] 36, L1: 1.
Dec 15 12:50:32 test kernel: [60269.787566] 37, L1: 1.
Dec 15 12:50:32 test kernel: [60269.788662] 38, L1: 1.
Dec 15 12:50:32 test kernel: [60269.824343] 39, L1: 1.
Dec 15 12:50:32 test kernel: [60269.824381] 40, L1: 1.
Dec 15 12:50:32 test kernel: [60269.824745] 41, L1: 1.
Dec 15 12:50:32 test kernel: [60269.836846] 42, L1: 1.
Dec 15 12:50:32 test kernel: [60269.836910] 43, L1: 1.
Dec 15 12:50:32 test kernel: [60269.840936] 44, L1: 1.
Dec 15 12:50:33 test kernel: [60269.991475] 45, L1: 1.
Dec 15 12:50:33 test kernel: [60270.044851] 46, L1: 1.
Dec 15 12:50:33 test kernel: [60270.090199] 47, L1: 1.
Dec 15 12:50:33 test kernel: [60270.096470] 48, L1: 1.
Dec 15 12:50:33 test kernel: [60270.105474] 49, L1: 1.
Dec 15 12:50:33 test kernel: [60270.107134] 50, L1: 1.
Dec 15 12:50:33 test kernel: [60270.188848] 51, L1: 1.
Dec 15 12:50:33 test kernel: [60270.201491] 52, L1: 1.
Dec 15 12:50:33 test kernel: [60270.201522] 53, L1: 1.
Dec 15 12:50:33 test kernel: [60270.201547] 54, L1: 1.
Dec 15 12:50:33 test kernel: [60270.201573] 55, L1: 1.
Dec 15 12:50:33 test kernel: [60270.201597] 56, L1: 1.
Dec 15 12:50:33 test kernel: [60270.201622] 57, L1: 1.
Dec 15 12:50:33 test kernel: [60270.201645] 58, L1: 1.
Dec 15 12:50:33 test kernel: [60270.201849] 59, L1: 1.
Dec 15 12:50:33 test kernel: [60270.201875] 60, L1: 1.
Dec 15 12:50:33 test kernel: [60270.201901] 61, L1: 1.
Dec 15 12:50:33 test kernel: [60270.202122] 62, L1: 1.
Dec 15 12:50:33 test kernel: [60270.380845] 63, L1: 1.
Dec 15 12:50:33 test kernel: [60270.395094] 64, L1: 1.
Dec 15 12:50:33 test kernel: [60270.503420] 65, L1: 1.
Dec 15 12:50:33 test kernel: [60270.556373] 66, L1: 1.
Dec 15 12:50:33 test kernel: [60270.651667] 67, L1: 1.
Dec 15 12:50:33 test kernel: [60270.743461] 68, L1: 1.
Dec 15 12:50:33 test kernel: [60270.769162] 69, L1: 1.
Dec 15 12:50:33 test kernel: [60270.783407] 70, L1: 1.
Dec 15 12:50:33 test kernel: [60270.783523] 71, L1: 1.
Dec 15 12:50:33 test kernel: [60270.783609] 72, L1: 1.
Dec 15 12:50:33 test kernel: [60270.844963] 73, L1: 1.
Dec 15 12:50:33 test kernel: [60270.845084] 74, L1: 1.
Dec 15 12:50:33 test kernel: [60270.845132] 75, L1: 1.
Dec 15 12:50:33 test kernel: [60270.845176] 76, L1: 1.
Dec 15 12:50:33 test kernel: [60270.845220] 77, L1: 1.
Dec 15 12:50:33 test kernel: [60270.845264] 78, L1: 1.
Dec 15 12:50:33 test kernel: [60270.845308] 79, L1: 1.
Dec 15 12:50:33 test kernel: [60270.846569] 80, L1: 1.
Dec 15 12:50:33 test kernel: [60270.901379] 81, L1: 1.
Dec 15 12:50:33 test kernel: [60270.910511] 82, L1: 1.
Dec 15 12:50:33 test kernel: [60270.942458] 83, L1: 1.
Dec 15 12:50:34 test kernel: [60270.982154] 84, L1: 1.
Dec 15 12:50:34 test kernel: [60271.092063] 85, L1: 1.
Dec 15 12:50:34 test kernel: [60271.107482] 86, L1: 1.
Dec 15 12:50:34 test kernel: [60271.117538] 87, L1: 1.
Dec 15 12:50:34 test kernel: [60271.117651] 88, L1: 1.
Dec 15 12:50:34 test kernel: [60271.117682] 89, L1: 1.
Dec 15 12:50:34 test kernel: [60271.117716] [Hermes] Exit Field [6400] -> Value [20]. Reason: [1c].
Dec 15 12:50:34 test kernel: [60271.125875] 90, L1: 1.
Dec 15 12:50:34 test kernel: [60271.125878] [Hermes] Entry Field [6400] -> Value [20].
Dec 15 12:50:37 test kernel: [60274.117871] [TRACE_KVM] tracing disabled
Dec 15 12:50:37 test kernel: [60274.117875] [TRACE_KVM] Control_execution set to 0.
Dec 15 12:50:37 test kernel: [60274.118119] [TRACE_KVM] Buffer copied 
Dec 15 12:50:37 test kernel: [60274.121871] [HAVFUZZ] Released
Dec 15 12:50:37 test kernel: [60274.123775] [Trace KVM] Buffer released
