Dec 15 10:44:45 test kernel: [52722.076746] [TRACE_KVM] Buffer & to_replay created
Dec 15 10:44:45 test kernel: [52722.076791] [HAVFUZZ] Opened
Dec 15 10:45:16 test kernel: [52753.423718] [TRACE_KVM] The trarget vcpu is 3
Dec 15 10:45:16 test kernel: [52753.493815] [Trace KVM] Buffer reset
Dec 15 10:45:16 test kernel: [52753.493823] [TRACE_KVM] Buffer size changed
Dec 15 10:45:16 test kernel: [52753.493829] [TRACE_KVM] From_exit set to 0 and exit_before buffer created.
Dec 15 10:45:16 test kernel: [52753.493832] [TRACE_KVM] gran exit set to 0.
Dec 15 10:45:16 test kernel: [52753.493834] [TRACE_KVM] Control_execution set to 1.
Dec 15 10:45:16 test kernel: [52753.493835] [TRACE_KVM] tracing enabled
Dec 15 10:45:17 test kernel: [52754.346253] 54, L1: 1.
Dec 15 10:45:17 test kernel: [52754.350205] 55, L1: 1.
Dec 15 10:45:17 test kernel: [52754.350661] 56, L1: 1.
Dec 15 10:45:17 test kernel: [52754.351259] 57, L1: 1.
Dec 15 10:45:17 test kernel: [52754.351949] 58, L1: 1.
Dec 15 10:45:17 test kernel: [52754.386063] 59, L1: 1.
Dec 15 10:45:17 test kernel: [52754.428847] 60, L1: 1.
Dec 15 10:45:17 test kernel: [52754.435876] 61, L1: 1.
Dec 15 10:45:17 test kernel: [52754.457112] 62, L1: 1.
Dec 15 10:45:17 test kernel: [52754.500841] 63, L1: 1.
Dec 15 10:45:17 test kernel: [52754.519962] 64, L1: 1.
Dec 15 10:45:17 test kernel: [52754.587969] 65, L1: 1.
Dec 15 10:45:17 test kernel: [52754.611156] 66, L1: 1.
Dec 15 10:45:17 test kernel: [52754.622649] 67, L1: 1.
Dec 15 10:45:17 test kernel: [52754.682759] 68, L1: 1.
Dec 15 10:45:17 test kernel: [52754.785618] 69, L1: 1.
Dec 15 10:45:17 test kernel: [52754.849852] 70, L1: 1.
Dec 15 10:45:17 test kernel: [52754.863146] 71, L1: 1.
Dec 15 10:45:17 test kernel: [52754.881912] 72, L1: 1.
Dec 15 10:45:17 test kernel: [52754.882031] 73, L1: 1.
Dec 15 10:45:17 test kernel: [52754.882274] 74, L1: 1.
Dec 15 10:45:17 test kernel: [52754.936985] 75, L1: 1.
Dec 15 10:45:17 test kernel: [52754.937106] 76, L1: 1.
Dec 15 10:45:17 test kernel: [52754.937154] 77, L1: 1.
Dec 15 10:45:17 test kernel: [52754.937198] 78, L1: 1.
Dec 15 10:45:17 test kernel: [52754.937243] 79, L1: 1.
Dec 15 10:45:17 test kernel: [52754.937287] 80, L1: 1.
Dec 15 10:45:17 test kernel: [52754.937331] 81, L1: 1.
Dec 15 10:45:17 test kernel: [52754.946238] 82, L1: 1.
Dec 15 10:45:18 test kernel: [52755.010418] 83, L1: 1.
Dec 15 10:45:18 test kernel: [52755.018093] 84, L1: 1.
Dec 15 10:45:18 test kernel: [52755.065743] 85, L1: 1.
Dec 15 10:45:18 test kernel: [52755.088901] 86, L1: 1.
Dec 15 10:45:18 test kernel: [52755.184366] 87, L1: 1.
Dec 15 10:45:18 test kernel: [52755.195242] 88, L1: 1.
Dec 15 10:45:18 test kernel: [52755.227110] 89, L1: 1.
Dec 15 10:45:18 test kernel: [52755.227190] 90, L1: 1.
Dec 15 10:45:18 test kernel: [52755.227219] 91, L1: 1.
Dec 15 10:45:18 test kernel: [52755.227251] [Hermes] Exit Field [4012] -> Value [1000000]. Reason: [1c].
Dec 15 10:45:18 test kernel: [52755.227270] 92, L1: 1.
Dec 15 10:45:21 test kernel: [52758.227431] [TRACE_KVM] tracing disabled
Dec 15 10:45:21 test kernel: [52758.227436] [TRACE_KVM] Control_execution set to 0.
Dec 15 10:45:21 test kernel: [52758.227695] [TRACE_KVM] Buffer copied 
Dec 15 10:45:21 test kernel: [52758.230013] [HAVFUZZ] Released
Dec 15 10:45:21 test kernel: [52758.231851] [Trace KVM] Buffer released
