Dec 15 09:04:25 test kernel: [46702.792486] [TRACE_KVM] Buffer & to_replay created
Dec 15 09:04:25 test kernel: [46702.792521] [HAVFUZZ] Opened
Dec 15 09:04:57 test kernel: [46734.394899] [TRACE_KVM] The trarget vcpu is 3
Dec 15 09:04:57 test kernel: [46734.463454] [Trace KVM] Buffer reset
Dec 15 09:04:57 test kernel: [46734.463460] [TRACE_KVM] Buffer size changed
Dec 15 09:04:57 test kernel: [46734.463468] [TRACE_KVM] From_exit set to 0 and exit_before buffer created.
Dec 15 09:04:57 test kernel: [46734.463470] [TRACE_KVM] gran exit set to 0.
Dec 15 09:04:57 test kernel: [46734.463472] [TRACE_KVM] Control_execution set to 1.
Dec 15 09:04:57 test kernel: [46734.463474] [TRACE_KVM] tracing enabled
Dec 15 09:04:58 test kernel: [46735.378870] 60, L1: 1.
Dec 15 09:04:58 test kernel: [46735.467957] 61, L1: 1.
Dec 15 09:04:58 test kernel: [46735.497386] 62, L1: 1.
Dec 15 09:04:58 test kernel: [46735.499316] 63, L1: 1.
Dec 15 09:04:58 test kernel: [46735.499599] 64, L1: 1.
Dec 15 09:04:58 test kernel: [46735.510725] 65, L1: 1.
Dec 15 09:04:58 test kernel: [46735.539294] 66, L1: 1.
Dec 15 09:04:58 test kernel: [46735.549320] 67, L1: 1.
Dec 15 09:04:58 test kernel: [46735.626533] 68, L1: 1.
Dec 15 09:04:58 test kernel: [46735.638546] 69, L1: 1.
Dec 15 09:04:58 test kernel: [46735.638671] 70, L1: 1.
Dec 15 09:04:58 test kernel: [46735.638863] 71, L1: 1.
Dec 15 09:04:58 test kernel: [46735.656971] 72, L1: 1.
Dec 15 09:04:58 test kernel: [46735.688983] 73, L1: 1.
Dec 15 09:04:58 test kernel: [46735.689098] 74, L1: 1.
Dec 15 09:04:58 test kernel: [46735.689145] 75, L1: 1.
Dec 15 09:04:58 test kernel: [46735.689190] 76, L1: 1.
Dec 15 09:04:58 test kernel: [46735.689233] 77, L1: 1.
Dec 15 09:04:58 test kernel: [46735.689277] 78, L1: 1.
Dec 15 09:04:58 test kernel: [46735.689321] 79, L1: 1.
Dec 15 09:04:58 test kernel: [46735.690564] 80, L1: 1.
Dec 15 09:04:58 test kernel: [46735.700081] 81, L1: 1.
Dec 15 09:04:58 test kernel: [46735.707480] 82, L1: 1.
Dec 15 09:04:58 test kernel: [46735.723685] 83, L1: 1.
Dec 15 09:04:58 test kernel: [46735.740908] 84, L1: 1.
Dec 15 09:04:58 test kernel: [46735.820955] 85, L1: 1.
Dec 15 09:04:58 test kernel: [46735.824404] 86, L1: 1.
Dec 15 09:04:58 test kernel: [46735.826560] 87, L1: 1.
Dec 15 09:04:58 test kernel: [46735.826675] 88, L1: 1.
Dec 15 09:04:58 test kernel: [46735.826705] 89, L1: 1.
Dec 15 09:04:58 test kernel: [46735.826738] [Hermes] Exit Field [4012] -> Value [20000]. Reason: [1c].
Dec 15 09:04:58 test kernel: [46735.826758] 90, L1: 1.
Dec 15 09:05:01 test kernel: [46738.826875] [TRACE_KVM] tracing disabled
Dec 15 09:05:01 test kernel: [46738.826880] [TRACE_KVM] Control_execution set to 0.
Dec 15 09:05:01 test kernel: [46738.827143] [TRACE_KVM] Buffer copied 
Dec 15 09:05:01 test kernel: [46738.829951] [HAVFUZZ] Released
Dec 15 09:05:01 test kernel: [46738.832301] [Trace KVM] Buffer released
