Dec 15 10:16:11 test kernel: [51008.533035] [TRACE_KVM] Buffer & to_replay created
Dec 15 10:16:11 test kernel: [51008.533068] [HAVFUZZ] Opened
Dec 15 10:16:43 test kernel: [51040.604791] [TRACE_KVM] The trarget vcpu is 3
Dec 15 10:16:43 test kernel: [51040.674052] [Trace KVM] Buffer reset
Dec 15 10:16:43 test kernel: [51040.674058] [TRACE_KVM] Buffer size changed
Dec 15 10:16:43 test kernel: [51040.674064] [TRACE_KVM] From_exit set to 0 and exit_before buffer created.
Dec 15 10:16:43 test kernel: [51040.674066] [TRACE_KVM] gran exit set to 0.
Dec 15 10:16:43 test kernel: [51040.674068] [TRACE_KVM] Control_execution set to 1.
Dec 15 10:16:43 test kernel: [51040.674069] [TRACE_KVM] tracing enabled
Dec 15 10:16:46 test kernel: [51043.618607] 71, L1: 1.
Dec 15 10:16:46 test kernel: [51043.618753] 72, L1: 1.
Dec 15 10:16:46 test kernel: [51043.618928] 73, L1: 1.
Dec 15 10:16:46 test kernel: [51043.656992] 74, L1: 1.
Dec 15 10:16:46 test kernel: [51043.657111] 75, L1: 1.
Dec 15 10:16:46 test kernel: [51043.657159] 76, L1: 1.
Dec 15 10:16:46 test kernel: [51043.657202] 77, L1: 1.
Dec 15 10:16:46 test kernel: [51043.657246] 78, L1: 1.
Dec 15 10:16:46 test kernel: [51043.657290] 79, L1: 1.
Dec 15 10:16:46 test kernel: [51043.657334] 80, L1: 1.
Dec 15 10:16:46 test kernel: [51043.672854] 81, L1: 1.
Dec 15 10:16:46 test kernel: [51043.703811] 82, L1: 1.
Dec 15 10:16:46 test kernel: [51043.712377] 83, L1: 1.
Dec 15 10:16:46 test kernel: [51043.780488] 84, L1: 1.
Dec 15 10:16:46 test kernel: [51043.789066] 85, L1: 1.
Dec 15 10:16:46 test kernel: [51043.908266] 86, L1: 1.
Dec 15 10:16:46 test kernel: [51043.909946] 87, L1: 1.
Dec 15 10:16:46 test kernel: [51043.925492] 88, L1: 1.
Dec 15 10:16:46 test kernel: [51043.925580] 89, L1: 1.
Dec 15 10:16:46 test kernel: [51043.925612] 90, L1: 1.
Dec 15 10:16:46 test kernel: [51043.925645] [Hermes] Exit Field [4012] -> Value [20000000]. Reason: [1c].
Dec 15 10:16:46 test kernel: [51043.925665] 91, L1: 1.
Dec 15 10:16:49 test kernel: [51046.925822] [TRACE_KVM] tracing disabled
Dec 15 10:16:49 test kernel: [51046.925827] [TRACE_KVM] Control_execution set to 0.
Dec 15 10:16:49 test kernel: [51046.926079] [TRACE_KVM] Buffer copied 
Dec 15 10:16:49 test kernel: [51046.927897] [HAVFUZZ] Released
Dec 15 10:16:49 test kernel: [51046.929271] [Trace KVM] Buffer released
